key,ar,de,en,es,fr,it,ja,nl,pl,pt
add_message_dialog_title,إضافة أو اختيار رسالة,Nachricht hinzufügen oder auswählen,Add or Select Message,Añadir o Seleccionar Mensaje,Ajouter ou Sélectionner un Message,Aggiungi o Seleziona Messaggio,メッセージを追加または選択,Voeg een bericht toe of selecteer een bericht,Dodaj lub wybierz wiadomość,Adicionar ou Selecionar Mensagem
add_message_to_send,إضافة رسالة للإرسال,Nachricht zum Versenden hinzufügen,Add message to send,Añadir mensaje para enviar,Ajouter un message à envoyer,Aggiungi messaggio da inviare,送信するメッセージを追加,Voeg bericht toe om te verzenden,Dodaj wiadomość do wysłania,Adicionar mensagem para enviar
add_new_event,إضافة حدث جديد,Neues Ereignis hinzufügen,Add a new event,Añadir un nuevo evento,Ajouter un nouvel événement,Aggiungi un nuovo evento,新しいイベントを追加,Voeg een nieuw evenement toe,Dodaj nowe wydarzenie,Adicionar um novo evento
add_new_task,إضافة مهمة جديدة,Neue Aufgabe hinzufügen,Add a new task,Añadir una nueva tarea,Ajouter une nouvelle tâche,Aggiungi un nuovo compito,新しいタスクを追加,Voeg een nieuwe taak toe,Dodaj nowe zadanie,Adicionar uma nova tarefa
add_pilot_name,إضافة اسم الطيار,Pilotname hinzufügen,Add Pilot Name,Añadir Nombre del Piloto,Ajouter le Nom du Pilote,Aggiungi Nome Pilota,パイロット名を追加,Voeg Pilootnaam toe,Dodaj nazwę pilota,Adicionar Nome do Piloto
add_task,إضافة مهمة,Aufgabe hinzufügen,Add Task,Añadir Tarea,Ajouter une Tâche,Aggiungi Compito,タスクを追加,Voeg Taak toe,Dodaj zadanie,Adicionar Tarefa
add_task_required_message,إضافة مهمة في الإعدادات,Aufgabe in den Einstellungen hinzufügen,Add task in the Settings,Añadir tarea en la Configuración,Ajoutez une tâche dans les Paramètres,Aggiungi compito nelle Impostazioni,設定でタスクを追加,Voeg taak toe in de Instellingen,Dodaj zadanie w Ustawieniach,Adicionar tarefa nas Configurações
add_task_required_title,هل تريد إضافة مهمة أخرى؟,Du möchtest eine weitere Aufgabe hinzufügen?,You want to add another task?,¿Quieres añadir otra tarea?,Voulez-vous ajouter une autre tâche ?,Vuoi aggiungere un altro compito?,別のタスクを追加しますか？,Wil je nog een taak toevoegen?,Chcesz dodać kolejne zadanie?,Você quer adicionar outra tarefa?
add_the_bot_to_that_chat,أضف البوت إلى تلك الدردشة,Den Bot zu diesem Chat hinzufügen,Add the bot to that chat,Añade el bot a ese chat,Ajoutez le bot à cette discussion,Aggiungi il bot a questa chat,そのチャットにボットを追加,Voeg de bot toe aan die chat,Dodaj bota do tego czatu,Adicione o bot àquele chat
add_the_bot_to_that_group,2. أضف البوت إلى تلك المجموعة,2. Den Bot zu dieser Gruppe hinzufügen,2. Add the bot to that group,2. Añade el bot a ese grupo,2. Ajoutez le bot à ce groupe,2. Aggiungi il bot a quel gruppo,2. そのグループにボットを追加,2. Voeg de bot toe aan die groep,2. Dodaj bota do tej grupy,2. Adicione o bot àquele grupo
app_name,AIR³ XCT Addon,AIR³ XCT Addon,AIR³ XCT Addon,AIR³ XCT Addon,AIR³ XCT Addon,AIR³ XCT Addon,AIR³ XCT アドオン,AIR³ XCT Addon,AIR³ XCT Addon,AIR³ XCT Addon
app_not_found,لم يتم العثور على التطبيق: %s,App nicht gefunden: %s,App not found: %s,Aplicación no encontrada: %s,Application non trouvée : %s,App non trovata: %s,アプリが見つかりません: %s,App niet gevonden: %s,Aplikacja nie znaleziona: %s,Aplicativo não encontrado: %s
app_version,الإصدار,Version,Version,Versión,Version,Versione,バージョン,Versie,Wersja,Versão
asset_sounds_path,أصوات,Sounds,sounds,sonidos,sons,suoni,サウンド,geluiden,dźwięki,sons
background,الخلفية,Hintergrund,Background,Fondo,Arrière-plan,Sfondo,バックグラウンド,Achtergrond,Tło,Fundo
bot_description,يسمح لك هذا البوت بإرسال تحديثات الموقع أو الرسائل من إضافة AIR3 XCT.,"Dieser Bot ermöglicht es Ihnen, Positions- oder Nachrichtenaktualisierungen vom AIR3 XCT-Add-on zu senden.",This bot allows you to send position or message updates from the AIR3 XCT addon.,Este bot te permite enviar actualizaciones de posición o mensajes desde el addon AIR3 XCT.,Ce bot vous permet d'envoyer des mises à jour de position ou des messages depuis l'addon AIR3 XCT.,Questo bot ti permette di inviare aggiornamenti di posizione o messaggi dall'addon AIR3 XCT.,このボットを使用すると、AIR3 XCTアドオンから位置情報やメッセージの更新を送信できます。,Deze bot stelt u in staat om positie- of berichtupdates te verzenden vanuit de AIR3 XCT addon.,Ten bot pozwala wysyłać aktualizacje pozycji lub wiadomości z dodatku AIR3 XCT.,Este bot permite que você envie atualizações de posição ou mensagens do addon AIR3 XCT.
bot_info_unavailable,غير قادر على جلب معلومات البوت. يرجى التحقق من رمز البوت والمحاولة مرة أخرى.,Bot-Informationen konnten nicht abgerufen werden. Bitte überprüfen Sie Ihren Bot-Token und versuchen Sie es erneut.,Unable to fetch bot information. Please check your bot token and try again.,"No se pudo obtener la información del bot. Por favor, revisa tu token del bot y vuelve a intentarlo.",Impossible de récupérer les informations du bot. Veuillez vérifier votre jeton de bot et réessayer.,Impossibile recuperare le informazioni del bot. Controlla il tuo token del bot e riprova.,ボット情報を取得できませんでした。ボットトークンを確認して再度お試しください。,Kan botinformatie niet ophalen. Controleer uw bottoken en probeer het opnieuw.,Nie można pobrać informacji o bocie. Sprawdź swój token bota i spróbuj ponownie.,"Não foi possível buscar informações do bot. Por favor, verifique seu token do bot e tente novamente."
bot_link_copied_fallback,تم نسخ رابط البوت إلى الحافظة. يرجى مشاركته يدويًا مع جهات الاتصال الخاصة بك.,Bot-Link in die Zwischenablage kopiert. Bitte teilen Sie ihn manuell mit Ihrem Kontakt.,Bot link copied to clipboard. Please share it with your contact manually.,"Enlace del bot copiado al portapapeles. Por favor, compártelo manualmente con tu contacto.",Lien du bot copié dans le presse-papiers. Veuillez le partager manuellement avec votre contact.,Link del bot copiato negli appunti. Per favore condividilo manualmente con il tuo contatto.,ボットリンクがクリップボードにコピーされました。手動で連絡先と共有してください。,Botlink gekopieerd naar klembord. Deel deze handmatig met uw contact.,Link do bota skopiowany do schowka. Udostępnij go ręcznie swojemu kontaktowi.,"Link do bot copiado para a área de transferência. Por favor, compartilhe-o manualmente com seu contato."
bot_no_access_private_chat,ليس لدى البوت حق الوصول إلى هذه الدردشة الخاصة. يحتاج المستخدم إلى بدء محادثة مع البوت أولاً.,Der Bot hat keinen Zugriff auf diesen privaten Chat. Der Benutzer muss zuerst eine Konversation mit dem Bot beginnen.,The bot doesn\'t have access to this private chat. The user needs to start a conversation with the bot first.,El bot no tiene acceso a este chat privado. El usuario necesita iniciar una conversación con el bot primero.,Le bot n'a pas accès à cette discussion privée. L'utilisateur doit commencer une conversation avec le bot d'abord.,Il bot non ha accesso a questa chat privata. L'utente deve avviare una conversazione con il bot per primo.,このプライベートチャットにボットがアクセスできません。まずユーザーがボットとの会話を開始する必要があります。,De bot heeft geen toegang tot deze privéchat. De gebruiker moet eerst een gesprek met de bot starten.,Ten bot nie ma dostępu do tego prywatnego czatu. Użytkownik musi najpierw rozpocząć rozmowę z botem.,O bot não tem acesso a este chat privado. O usuário precisa iniciar uma conversa com o bot primeiro.
bot_setup_required,إعداد البوت مطلوب,Bot-Einrichtung erforderlich,Bot Setup Required,Configuración del Bot Requerida,Configuration du Bot Requise,Configurazione del Bot Richiesta,ボットの設定が必要です,Botinstelling vereist,Wymagana konfiguracja bota,Configuração do Bot Necessária
bot_share_additional_message,الرجاء النقر على الرابط لبدء محادثة مع البوت والنقر على البدء في الأسفل أو إرسال /start إلى البوت.,"Klicken Sie bitte auf den Link, um eine Konversation mit dem Bot zu beginnen, und klicken Sie unten auf „Starten“ oder senden Sie eine /start-Nachricht an den Bot.",Please click on the link to start a conversation with the bot and click start in the bottom or send /start to the bot.,"Por favor, haz clic en el enlace para iniciar una conversación con el bot y haz clic en iniciar en la parte inferior o envía /start al bot.",Veuillez cliquer sur le lien pour démarrer une conversation avec le bot et cliquer sur démarrer en bas ou envoyer /start au bot.,Clicca sul link per iniziare una conversazione con il bot e clicca su start in basso o invia /start al bot.,ボットとの会話を開始するためにリンクをクリックし、下部の「開始」をクリックするか、ボットに/startを送信してください。,Klik op de link om een gesprek met de bot te starten en klik op starten onderaan of stuur /start naar de bot.,"Kliknij w link, aby rozpocząć rozmowę z botem i kliknij start na dole lub wyślij /start do bota.","Por favor, clique no link para iniciar uma conversa com o bot e clique em iniciar na parte inferior ou envie /start para o bot."
brand_air3,AIR3,AIR3,AIR3,AIR3,AIR3,AIR3,AIR3,AIR3,AIR3,AIR3
brand_limit_message,هذا التطبيق لا يحتوي على قيود مع أجهزة AIR³. الأجهزة الأخرى مقيدة بإجراء واحد.,Diese App hat keine Einschränkungen mit AIR³-Geräten. Andere Geräte sind auf eine Aktion beschränkt.,This app has no limitations with AIR³ devices. Other devices are limited to one action.,Esta aplicación no tiene limitaciones con los dispositivos AIR³. Otros dispositivos están limitados a una acción.,Cette application n'a pas de limitations avec les appareils AIR³. Les autres appareils sont limités à une action.,Questa app non ha limitazioni con i dispositivi AIR³. Altri dispositivi sono limitati a un'azione.,このアプリはAIR³デバイスに制限はありません。他のデバイスは1つのアクションに制限されています。,Deze app heeft geen beperkingen met AIR³-apparaten. Andere apparaten zijn beperkt tot één actie.,Ta aplikacja nie ma ograniczeń z urządzeniami AIR³. Inne urządzenia są ograniczone do jednej akcji.,Este aplicativo não tem limitações com dispositivos AIR³. Outros dispositivos são limitados a uma ação.
brand_limit_restriction,هذا التطبيق لا يحتوي على قيود مع أجهزة AIR³. الأجهزة الأخرى مقيدة بإجراء واحد.,Diese App hat keine Einschränkungen mit AIR³-Geräten. Andere Geräte sind auf eine Aktion beschränkt.,This app has no restrictions with AIR³ devices. Other devices are restricted to one action.,Esta aplicación no tiene restricciones con los dispositivos AIR³. Otros dispositivos están restringidos a una acción.,Cette application n'a pas de restrictions avec les appareils AIR³. Les autres appareils sont limités à une action.,Questa app non ha restrizioni con i dispositivi AIR³. Altri dispositivi sono limitati a un'azione.,このアプリはAIR³デバイスに制限はありません。他のデバイスは1つのアクションに制限されています。,Deze app heeft geen beperkingen met AIR³-apparaten. Andere apparaten zijn beperkt tot één actie.,Ta aplikacja nie ma ograniczeń z urządzeniami AIR³. Inne urządzenia są ograniczone do jednej akcji.,Este aplicativo não tem restrições com dispositivos AIR³. Outros dispositivos são limitados a uma ação.
cancel,إلغاء,Abbrechen,Cancel,Cancelar,Annuler,Annulla,キャンセル,Annuleren,Anuluj,Cancelar
cannot_add_new_chat_offline,لا يمكن إضافة دردشة جديدة أثناء عدم الاتصال بالإنترنت. يرجى الاتصال بالإنترنت.,Offline kann kein neuer Chat hinzugefügt werden. Bitte stellen Sie eine Internetverbindung her.,Cannot add a new chat while offline. Please connect to the internet.,"No se puede añadir un nuevo chat sin conexión. Por favor, conéctate a Internet.",Impossible d'ajouter une nouvelle discussion hors ligne. Veuillez vous connecter à Internet.,Impossibile aggiungere una nuova chat mentre offline. Per favore connettiti a internet.,オフラインでは新しいチャットを追加できません。インターネットに接続してください。,Kan geen nieuwe chat toevoegen terwijl offline. Sluit a.u.b. aan op het internet.,Nie można dodać nowego czatu podczas trybu offline. Proszę połączyć się z internetem.,"Não é possível adicionar um novo chat enquanto offline. Por favor, conecte-se à internet."
cannot_launch_app,لا يمكن تشغيل التطبيق: %s,App kann nicht gestartet werden: %s,Cannot launch app: %s,No se puede iniciar la aplicación: %s,Impossible de lancer l'application : %s,Impossibile avviare l'app: %s,アプリを起動できません: %s,Kan app niet starten: %s,Nie można uruchomić aplikacji: %s,Não é possível iniciar o aplicativo: %s
category_airspace,الفضاء الجوي,Luftraum,Airspace,Espacio Aéreo,Espace Aérien,Spazio Aereo,航空空域,Luchtruimte,Przestrzeń powietrzna,Espaço Aéreo
category_battery,البطارية,Batterie,Battery,Batería,Batterie,Batteria,バッテリー,Batterij,Bateria,Bateria
category_competition,المسابقة,Wettbewerb,Competition,Competición,Compétition,Competizione,競技,Wedstrijd,Zawody,Competição
category_event_required,الرجاء اختيار فئة وإدخال اسم الحدث.,Bitte wählen Sie eine Kategorie und geben Sie einen Veranstaltungsnamen ein.,Please select a category and enter an event name.,"Por favor, selecciona una categoría e introduce un nombre para el evento.",Veuillez sélectionner une catégorie et entrer un nom pour l'événement.,Per favore seleziona una categoria e inserisci un nome per l'evento.,カテゴリを選択し、イベント名を入力してください。,Selecteer een categorie en voer een evenementnaam in.,Proszę wybrać kategorię i wprowadzić nazwę wydarzenia.,"Por favor, selecione uma categoria e insira um nome para o evento."
category_flight,الطيران,Flug,Flight,Vuelo,Vol,Volo,フライト,Vlucht,Lot,Voo
category_others,أخرى,Sonstige,Others,Otros,Autres,Altri,その他,Overige,Inne,Outros
change,تغيير,Ändern,Change,Cambiar,Changer,Cambia,変更,Wijzigen,Zmień,Mudar
chat_label,الدردشة,Chat,Chat,Chat,Discussion,Chat,チャット,Chat,Czat,Chat
check_bot_privacy_settings,تأكد من تعطيل خصوصية البوت في BotFather (/setprivacy -> تعطيل).,"Stellen Sie sicher, dass der Bot-Datenschutz in BotFather deaktiviert ist (/setprivacy -> Deaktivieren).",Ensure bot privacy is disabled in BotFather (/setprivacy -> Disable).,Asegúrate de que la privacidad del bot esté desactivada en BotFather (/setprivacy -> Desactivar).,Assurez-vous que la confidentialité du bot est désactivée dans BotFather (/setprivacy -> Désactiver).,Assicurati che la privacy del bot sia disabilitata in BotFather (/setprivacy -> Disabilita).,BotFatherでボットのプライバシーが無効になっていることを確認してください（/setprivacy -> 無効）。,Zorg ervoor dat de botprivacy is uitgeschakeld in BotFather (/setprivacy -> Uitschakelen).,"Upewnij się, że prywatność bota jest wyłączona w BotFather (/setprivacy -> Wyłącz).",Certifique-se de que a privacidade do bot está desativada no BotFather (/setprivacy -> Desativar).
checking_bot_status,جاري التحقق من حالة البوت...,Bot-Status wird geprüft...,Checking bot status...,Comprobando el estado del bot...,Vérification du statut du bot en cours...,Controllo stato del bot in corso...,ボットのステータスを確認しています...,Controleer botstatus...,Sprawdzanie statusu bota...,Verificando o status do bot...
clear_all_tasks,مسح جميع المهام,Alle Aufgaben löschen,Clear All Tasks,Limpiar Todas las Tareas,Effacer Toutes les Tâches,Cancella Tutti i Compiti,すべてのタスクをクリア,Wis Alle Taken,Wyczyść wszystkie zadania,Limpar Todas as Tarefas
clear_telegram_authentication,مسح مصادقة تيليجرام,Telegram-Authentifizierung löschen,Clear Telegram authentication,Limpiar Autenticación de Telegram,Effacer l'Authentification Telegram,Cancella Autenticazione Telegram,Telegram認証をクリア,Wis Telegram-verificatie,Wyczyść uwierzytelnienie Telegram,Limpar Autenticação do Telegram
clear_telegram_validation,مسح التحقق من تيليجرام,Telegram-Validierung löschen,Clear Telegram Validation,Limpiar Validación de Telegram,Effacer la Validation Telegram,Cancella Validazione Telegram,Telegram検証をクリア,Wis Telegram-validatie,Wyczyść walidację Telegram,Limpar Validação do Telegram
close_app,إغلاق,Schließen,Close,Cerrar,Fermer,Chiudi,閉じる,Sluiten,Zamknij,Fechar
come_back_here_and_refresh,4. عد هنا وانعش.,4. Zurückkommen und aktualisieren,4. Come back here and refresh,4. Vuelve aquí y actualiza,4. Revenez ici et actualisez,4. Torna qui e aggiorna,4. ここに戻って更新してください,4. Kom hier terug en vernieuw,4. Wróć tutaj i odśwież,4. Volte aqui e atualize
configure_telegram_message,تكوين رسالة تيليجرام,Telegram-Nachricht konfigurieren,Configure Telegram Message,Configurar Mensaje de Telegram,Configurer le Message Telegram,Configura Messaggio Telegram,Telegramメッセージを設定,Configureer Telegram-bericht,Skonfiguruj wiadomość Telegram,Configurar Mensagem do Telegram
configure_telegram_position,تكوين موقع تيليجرام,Telegram-Position konfigurieren,Configure Telegram Position,Configurar Posición de Telegram,Configurer la Position Telegram,Configura Posizione Telegram,Telegramの位置情報を設定,Configureer Telegram-positie,Skonfiguruj pozycję Telegram,Configurar Posição do Telegram
configured_tasks,المهام المكوّنة,Konfigurierte Aufgaben,Configured Tasks,Tareas Configuradas,Tâches Configurées,Compiti Configurati,設定されたタスク,Geconfigureerde Taken,Skonfigurowane zadania,Tarefas Configuradas
confirm,تأكيد,Bestätigen,Confirm,Confirmar,Confirmer,Conferma,確認,Bevestigen,Potwierdź,Confirmar
copyright,© 2025 Bertrand Fontaine - AIR³,© 2025 Bertrand Fontaine - AIR³,© 2025 Bertrand Fontaine - AIR³,© 2025 Bertrand Fontaine - AIR³,© 2025 Bertrand Fontaine - AIR³,© 2025 Bertrand Fontaine - AIR³,© 2025 Bertrand Fontaine - AIR³,© 2025 Bertrand Fontaine - AIR³,© 2025 Bertrand Fontaine - AIR³,© 2025 Bertrand Fontaine - AIR³
count_label,العدد:,Anzahl:,Count:,Contar:,Compte :,Conteggio:,カウント:,Aantal:,Liczba:,Contagem:
create_or_choose_a_telegram_chat,1. إنشاء أو اختيار دردشة تيليجرام (مجموعة أو خاصة).,1. Erstellen oder wählen Sie einen Telegram-Chat (Gruppe oder privat).,1. Create or choose a Telegram chat (group or private).,1. Crea o elige un chat de Telegram (grupo o privado).,1. Créez ou choisissez une discussion Telegram (groupe ou privée).,1. Crea o scegli una chat Telegram (gruppo o privata).,1. Telegramチャット（グループまたはプライベート）を作成または選択してください。,1. Maak of kies een Telegram-chat (groep of privé).,1. Utwórz lub wybierz czat Telegram (grupa lub prywatny).,1. Crie ou escolha um chat do Telegram (grupo ou privado).
create_or_choose_a_telegram_group,1. إنشاء أو اختيار مجموعة تيليجرام,1. Erstellen oder wählen Sie eine Telegram-Gruppe.,1. Create or choose a Telegram group,1. Crea o elige un grupo de Telegram,1. Créez ou choisissez un groupe Telegram,1. Crea o scegli un gruppo Telegram,1. Telegramグループを作成または選択してください,1. Maak of kies een Telegram-groep,1. Utwórz lub wybierz grupę Telegram,1. Crie ou escolha um grupo do Telegram
current_pilot_name,اسم الطيار الحالي: %s,Aktueller Pilotname: %s,Current Pilot Name: %s,Nombre del Piloto Actual: %s,Nom du Pilote Actuel : %s,Nome Pilota Corrente: %s,現在のパイロット名: %s,Huidige Pilootnaam: %s,Aktualna nazwa pilota: %s,Nome do Piloto Atual: %s
debug_events,تصحيح الأخطاء - الأحداث الحالية: %1$d، الفئات: %2$d,"Debug - Aktuelle Ereignisse: %1$d, Kategorien: %2$d","Debug - Current Events: %1$d, Categories: %2$d","Depurar - Eventos Actuales: %1$d, Categorías: %2$d","Debug - Événements Actuels : %1$d, Catégories : %2$d","Debug - Eventi Correnti: %1$d, Categorie: %2$d",デバッグ - 現在のイベント: %1$d、カテゴリ: %2$d,"Debug - Huidige Gebeurtenissen: %1$d, Categorieën: %2$d","Debugowanie - Aktualne wydarzenia: %1$d, Kategorie: %2$d","Depurar - Eventos Atuais: %1$d, Categorias: %2$d"
delete,حذف,Löschen,Delete,Eliminar,Supprimer,Elimina,削除,Verwijderen,Usuń,Excluir
delete_message_confirmation,"هل أنت متأكد أنك تريد حذف الرسالة ""%1$s""؟","Möchten Sie die Nachricht ""%1$s"" wirklich löschen?","Are you sure you want to delete the message ""%1$s""?","¿Estás seguro de que quieres eliminar el mensaje ""%1$s""?","Êtes-vous sûr de vouloir supprimer le message ""%1$s"" ?","Sei sicuro di voler eliminare il messaggio ""%1$s""?",メッセージ「%1$s」を削除しますか？,"Weet je zeker dat je het bericht ""%1$s"" wilt verwijderen?","Czy na pewno chcesz usunąć wiadomość ""%1$s""?","Tem certeza de que deseja excluir a mensagem ""%1$s""?"
delete_message_title,حذف الرسالة,Nachricht löschen,Delete Message,Eliminar Mensaje,Supprimer le Message,Elimina Messaggio,メッセージを削除,Verwijder Bericht,Usuń wiadomość,Excluir Mensagem
delete_task,حذف المهمة,Aufgabe löschen,Delete Task,Eliminar Tarea,Supprimer la Tâche,Elimina Compito,タスクを削除,Verwijder Taak,Usuń zadanie,Excluir Tarefa
device_compatibility_title,توافق الجهاز,Gerätekompatibilität,Device Compatibility,Compatibilidad del Dispositivo,Compatibilité de l'Appareil,Compatibilità Dispositivo,デバイスの互換性,Apparaatcompatibiliteit,Kompatybilność urządzenia,Compatibilidade do Dispositivo
error_empty_message,لا يمكن أن يكون محتوى الرسالة فارغًا,Nachrichteninhalt darf nicht leer sein,Message content cannot be empty,El contenido del mensaje no puede estar vacío,Le contenu du message ne peut pas être vide,Il contenuto del messaggio non può essere vuoto,メッセージの内容は空にできません,Berichtinhoud mag niet leeg zijn,Treść wiadomości nie może być pusta,O conteúdo da mensagem não pode estar vazio
error_empty_title,لا يمكن أن يكون عنوان الرسالة فارغًا,Nachrichtentitel darf nicht leer sein,Message title cannot be empty,El título del mensaje no puede estar vacío,Le titre du message ne peut pas être vide,Il titolo del messaggio non può essere vuoto,メッセージのタイトルは空にできません,Berichttitel mag niet leeg zijn,Tytuł wiadomości nie może być pusty,O título da mensagem não pode estar vazio
error_failed_get_location,فشل في الحصول على الموقع: %s,Standort konnte nicht abgerufen werden: %s,Failed to get location: %s,Error al obtener la ubicación: %s,Impossible d'obtenir la position : %s,Impossibile ottenere la posizione: %s,位置情報の取得に失敗しました: %s,Kan locatie niet ophalen: %s,Nie udało się uzyskać lokalizacji: %s,Falha ao obter localização: %s
error_failed_open_telegram,فشل في فتح تيليجرام: %s,Telegram konnte nicht geöffnet werden: %s,Failed to open Telegram: %s,Error al abrir Telegram: %s,Impossible d'ouvrir Telegram : %s,Impossibile aprire Telegram: %s,Telegramを開くのに失敗しました: %s,Kan Telegram niet openen: %s,Nie udało się otworzyć Telegram: %s,Falha ao abrir o Telegram: %s
error_loading_chats,خطأ في تحميل الدردشات,Fehler beim Laden der Chats,Error loading chats,Error al cargar chats,Erreur de chargement des discussions,Errore nel caricamento delle chat,チャットの読み込みエラー,Fout bij het laden van chats,Błąd ładowania czatów,Erro ao carregar chats
error_loading_groups,خطأ في تحميل المجموعات,Fehler beim Laden der Gruppen,Error loading groups,Error al cargar grupos,Erreur de chargement des groupes,Errore nel caricamento dei gruppi,グループの読み込みエラー,Fout bij het laden van groepen,Błąd ładowania grup,Erro ao carregar grupos
error_location_null,الموقع فارغ,Standort ist null,Location is null,La ubicación es nula,La position est nulle,La posizione è nulla,位置情報がnullです,Locatie is null,Lokalizacja jest pusta,Localização é nula
error_location_permission_not_granted,لم يتم منح إذن الموقع,Standortberechtigung nicht erteilt,Location permission not granted,Permiso de ubicación no concedido,Permission de localisation non accordée,Permesso posizione non concesso,位置情報の許可が与えられていません,Locatiepermissie niet verleend,Brak uprawnień lokalizacji,Permissão de localização não concedida
error_response_body_null,جسم الاستجابة فارغ,Antworttext ist null,Response body is null,El cuerpo de la respuesta es nulo,Le corps de la réponse est nul,Il corpo della risposta è nullo,レスポンスボディがnullです,Responsbody is null,Ciało odpowiedzi jest puste,Corpo da resposta é nulo
event_count,إجمالي الأحداث: %1$d,Ereignisse gesamt: %1$d,Total Events: %1$d,Eventos Totales: %1$d,Événements Totaux : %1$d,Eventi Totali: %1$d,総イベント数: %1$d,Totaal aantal gebeurtenissen: %1$d,Całkowita liczba wydarzeń: %1$d,Total de Eventos: %1$d
event_name,اسم الحدث,Ereignisname,Event Name,Nombre del Evento,Nom de l'Événement,Nome Evento,イベント名,Geurtenisnaam,Nazwa wydarzenia,Nome do Evento
failed_to_access_private_chat,فشل في الوصول إلى الدردشة الخاصة: %s,Zugriff auf privaten Chat fehlgeschlagen: %s,Failed to access private chat: %s,Error al acceder al chat privado: %s,Impossible d'accéder à la discussion privée : %s,Impossibile accedere alla chat privata: %s,プライベートチャットへのアクセスに失敗しました: %s,Kan geen toegang krijgen tot privéchats: %s,Nie udało się uzyskać dostępu do prywatnego czatu: %s,Falha ao acessar chat privado: %s
failed_to_activate_bot,فشل في تفعيل البوت: %1$s,Bot konnte nicht aktiviert werden: %1$s,Failed to activate bot: %1$s,Error al activar el bot: %1$s,Impossible d'activer le bot : %1$s,Impossibile attivare il bot: %1$s,ボットの有効化に失敗しました: %1$s,Kan bot niet activeren: %1$s,Nie udało się aktywować bota: %1$s,Falha ao ativar o bot: %1$s
failed_to_check_bot_status,فشل في التحقق من حالة البوت: %1$s,Bot-Status konnte nicht überprüft werden: %1$s,Failed to check bot status: %1$s,Error al comprobar el estado del bot: %1$s,Impossible de vérifier le statut du bot : %1$s,Impossibile controllare lo stato del bot: %1$s,ボットのステータス確認に失敗しました: %1$s,Kan botstatus niet controleren: %1$s,Nie udało się sprawdzić statusu bota: %1$s,Falha ao verificar status do bot: %1$s
